"Border","Sector","State","Year","Identity","no_of_arrest","Latitude","Longitude","City"
"Coast","Livermore","CA","2000","all",6205,37.2718745,-119.2704153,"California"
"Coast","Miami","FL","2000","all",6237,27.9757279,-83.8330166,"Florida"
"Coast","Miami","GA","2000","all",6237,32.6781248,-83.2229757,"Georgia"
"Coast","Miami","SC","2000","all",6237,33.62505,-80.9470381,"South Carolina"
"Coast","Miami","NC","2000","all",6237,35.2145629,-79.8912675,"North Carolina"
"Coast","New Orleans","LA","2000","all",6478,30.9733766,-91.4299097,"Louisiana"
"Coast","New Orleans","AL","2000","all",6478,32.6010112,-86.6807365,"Alabama"
"Coast","New Orleans","MS","2000","all",6478,32.5851062,-89.8772196,"Mississippi"
"Coast","New Orleans","FL","2000","all",6478,27.9757279,-83.8330166,"Florida"
"Coast","Ramey","PR","2000","all",1731,NA,NA,NA
"Coast","All","PR","2000","all",20651,NA,NA,NA
"Coast","All","LA","2000","all",20651,30.9733766,-91.4299097,"Louisiana"
"Coast","All","AL","2000","all",20651,32.6010112,-86.6807365,"Alabama"
"Coast","All","MS","2000","all",20651,32.5851062,-89.8772196,"Mississippi"
"Coast","All","FL","2000","all",20651,27.9757279,-83.8330166,"Florida"
"Coast","All","GA","2000","all",20651,32.6781248,-83.2229757,"Georgia"
"Coast","All","SC","2000","all",20651,33.62505,-80.9470381,"South Carolina"
"Coast","All","NC","2000","all",20651,35.2145629,-79.8912675,"North Carolina"
"North","Blaine","WA","2000","all",2581,38.8993487,-77.0145665,"Washington"
"North","Blaine","OR","2000","all",2581,44.1419049,-120.5380993,"Oregon"
"North","Buffalo","NY","2000","all",1570,40.7056258,-73.97968,"New York"
"North","Buffalo","PA","2000","all",1570,40.9945928,-77.6046984,"Pennsylvania"
"North","Detroit","OH","2000","all",2057,40.1903624,-82.6692525,"Ohio"
"North","Detroit","MI","2000","all",2057,44.9435598,-86.4158049,"Michigan"
"North","Detroit","IN","2000","all",2057,39.7662195,-86.441277,"Indiana"
"North","Detroit","IL","2000","all",2057,39.739318,-89.504139,"Illinois"
"North","Grand Forks","WI","2000","all",562,44.7862968,-89.8267049,"Wisconsin"
"North","Grand Forks","MN","2000","all",562,46.4418595,-93.3655146,"Minnesota"
"North","Grand Forks","ND","2000","all",562,47.4678819,-100.3022655,"North Dakota"
"North","Havre","MT","2000","all",1568,46.6797995,-110.044783,"Montana"
"North","Houlton","ME","2000","all",489,45.2185133,-69.0148656,"Maine"
"North","Spokane","MT","2000","all",1324,46.6797995,-110.044783,"Montana"
"North","Spokane","ID","2000","all",1324,45.4945756,-114.1424303,"Idaho"
"North","Spokane","WA","2000","all",1324,38.8993487,-77.0145665,"Washington"
"North","Swanton","NH","2000","all",1957,44.0012306,-71.5799231,"New Hampshire"
"North","Swanton","VT","2000","all",1957,43.8717545,-72.4477828,"Vermont"
"North","Swanton","NY","2000","all",1957,40.7056258,-73.97968,"New York"
"North","All","ME","2000","all",12108,45.2185133,-69.0148656,"Maine"
"North","All","NH","2000","all",12108,44.0012306,-71.5799231,"New Hampshire"
"North","All","VT","2000","all",12108,43.8717545,-72.4477828,"Vermont"
"North","All","NY","2000","all",12108,40.7056258,-73.97968,"New York"
"North","All","PA","2000","all",12108,40.9945928,-77.6046984,"Pennsylvania"
"North","All","OH","2000","all",12108,40.1903624,-82.6692525,"Ohio"
"North","All","MI","2000","all",12108,44.9435598,-86.4158049,"Michigan"
"North","All","IN","2000","all",12108,39.7662195,-86.441277,"Indiana"
"North","All","IL","2000","all",12108,39.739318,-89.504139,"Illinois"
"North","All","WI","2000","all",12108,44.7862968,-89.8267049,"Wisconsin"
"North","All","MN","2000","all",12108,46.4418595,-93.3655146,"Minnesota"
"North","All","ND","2000","all",12108,47.4678819,-100.3022655,"North Dakota"
"North","All","MT","2000","all",12108,46.6797995,-110.044783,"Montana"
"North","All","ID","2000","all",12108,45.4945756,-114.1424303,"Idaho"
"North","All","WA","2000","all",12108,38.8993487,-77.0145665,"Washington"
"Southwest","Big Bend","TX","2000","all",13689,31.1693363,-100.0768425,"Texas"
"Southwest","Del Rio","TX","2000","all",157178,31.1693363,-100.0768425,"Texas"
"Southwest","El Centro","CA","2000","all",238126,37.2718745,-119.2704153,"California"
"Southwest","El Paso","NM","2000","all",115696,34.1662325,-106.0260685,"New Mexico"
"Southwest","El Paso","TX","2000","all",115696,31.1693363,-100.0768425,"Texas"
"Southwest","Laredo","TX","2000","all",108973,31.1693363,-100.0768425,"Texas"
"Southwest","Rio Grande Valley","TX","2000","all",133243,31.1693363,-100.0768425,"Texas"
"Southwest","San Diego","CA","2000","all",151681,37.2718745,-119.2704153,"California"
"Southwest","Tucson","AZ","2000","all",616346,34.1682185,-111.930907,"Arizona"
"Southwest","Yuma","CA","2000","all",108747,37.2718745,-119.2704153,"California"
"Southwest","Yuma","AZ","2000","all",108747,34.1682185,-111.930907,"Arizona"
"Southwest","All","CA","2000","all",1643679,37.2718745,-119.2704153,"California"
"Southwest","All","AZ","2000","all",1643679,34.1682185,-111.930907,"Arizona"
"Southwest","All","NM","2000","all",1643679,34.1662325,-106.0260685,"New Mexico"
"Southwest","All","TX","2000","all",1643679,31.1693363,-100.0768425,"Texas"
"United States","","USA","2000","all",1676438,NA,NA,NA
"Coast","Livermore","CA","2000","mexican",6034,37.2718745,-119.2704153,"California"
"Coast","Miami","FL","2000","mexican",2421,27.9757279,-83.8330166,"Florida"
"Coast","Miami","GA","2000","mexican",2421,32.6781248,-83.2229757,"Georgia"
"Coast","Miami","SC","2000","mexican",2421,33.62505,-80.9470381,"South Carolina"
"Coast","Miami","NC","2000","mexican",2421,35.2145629,-79.8912675,"North Carolina"
"Coast","New Orleans","LA","2000","mexican",5985,30.9733766,-91.4299097,"Louisiana"
"Coast","New Orleans","AL","2000","mexican",5985,32.6010112,-86.6807365,"Alabama"
"Coast","New Orleans","MS","2000","mexican",5985,32.5851062,-89.8772196,"Mississippi"
"Coast","New Orleans","FL","2000","mexican",5985,27.9757279,-83.8330166,"Florida"
"Coast","Ramey","PR","2000","mexican",0,NA,NA,NA
"Coast","All","PR","2000","mexican",14440,NA,NA,NA
"Coast","All","LA","2000","mexican",14440,30.9733766,-91.4299097,"Louisiana"
"Coast","All","AL","2000","mexican",14440,32.6010112,-86.6807365,"Alabama"
"Coast","All","MS","2000","mexican",14440,32.5851062,-89.8772196,"Mississippi"
"Coast","All","FL","2000","mexican",14440,27.9757279,-83.8330166,"Florida"
"Coast","All","GA","2000","mexican",14440,32.6781248,-83.2229757,"Georgia"
"Coast","All","SC","2000","mexican",14440,33.62505,-80.9470381,"South Carolina"
"Coast","All","NC","2000","mexican",14440,35.2145629,-79.8912675,"North Carolina"
"North","Blaine","WA","2000","mexican",1560,38.8993487,-77.0145665,"Washington"
"North","Blaine","OR","2000","mexican",1560,44.1419049,-120.5380993,"Oregon"
"North","Buffalo","NY","2000","mexican",978,40.7056258,-73.97968,"New York"
"North","Buffalo","PA","2000","mexican",978,40.9945928,-77.6046984,"Pennsylvania"
"North","Detroit","OH","2000","mexican",1634,40.1903624,-82.6692525,"Ohio"
"North","Detroit","MI","2000","mexican",1634,44.9435598,-86.4158049,"Michigan"
"North","Detroit","IN","2000","mexican",1634,39.7662195,-86.441277,"Indiana"
"North","Detroit","IL","2000","mexican",1634,39.739318,-89.504139,"Illinois"
"North","Grand Forks","WI","2000","mexican",373,44.7862968,-89.8267049,"Wisconsin"
"North","Grand Forks","MN","2000","mexican",373,46.4418595,-93.3655146,"Minnesota"
"North","Grand Forks","ND","2000","mexican",373,47.4678819,-100.3022655,"North Dakota"
"North","Havre","MT","2000","mexican",1375,46.6797995,-110.044783,"Montana"
"North","Houlton","ME","2000","mexican",135,45.2185133,-69.0148656,"Maine"
"North","Spokane","MT","2000","mexican",1205,46.6797995,-110.044783,"Montana"
"North","Spokane","ID","2000","mexican",1205,45.4945756,-114.1424303,"Idaho"
"North","Spokane","WA","2000","mexican",1205,38.8993487,-77.0145665,"Washington"
"North","Swanton","NH","2000","mexican",102,44.0012306,-71.5799231,"New Hampshire"
"North","Swanton","VT","2000","mexican",102,43.8717545,-72.4477828,"Vermont"
"North","Swanton","NY","2000","mexican",102,40.7056258,-73.97968,"New York"
"North","All","ME","2000","mexican",7362,45.2185133,-69.0148656,"Maine"
"North","All","NH","2000","mexican",7362,44.0012306,-71.5799231,"New Hampshire"
"North","All","VT","2000","mexican",7362,43.8717545,-72.4477828,"Vermont"
"North","All","NY","2000","mexican",7362,40.7056258,-73.97968,"New York"
"North","All","PA","2000","mexican",7362,40.9945928,-77.6046984,"Pennsylvania"
"North","All","OH","2000","mexican",7362,40.1903624,-82.6692525,"Ohio"
"North","All","MI","2000","mexican",7362,44.9435598,-86.4158049,"Michigan"
"North","All","IN","2000","mexican",7362,39.7662195,-86.441277,"Indiana"
"North","All","IL","2000","mexican",7362,39.739318,-89.504139,"Illinois"
"North","All","WI","2000","mexican",7362,44.7862968,-89.8267049,"Wisconsin"
"North","All","MN","2000","mexican",7362,46.4418595,-93.3655146,"Minnesota"
"North","All","ND","2000","mexican",7362,47.4678819,-100.3022655,"North Dakota"
"North","All","MT","2000","mexican",7362,46.6797995,-110.044783,"Montana"
"North","All","ID","2000","mexican",7362,45.4945756,-114.1424303,"Idaho"
"North","All","WA","2000","mexican",7362,38.8993487,-77.0145665,"Washington"
"Southwest","Big Bend","TX","2000","mexican",12851,31.1693363,-100.0768425,"Texas"
"Southwest","Del Rio","TX","2000","mexican",150467,31.1693363,-100.0768425,"Texas"
"Southwest","El Centro","CA","2000","mexican",236346,37.2718745,-119.2704153,"California"
"Southwest","El Paso","NM","2000","mexican",114299,34.1662325,-106.0260685,"New Mexico"
"Southwest","El Paso","TX","2000","mexican",114299,31.1693363,-100.0768425,"Texas"
"Southwest","Laredo","TX","2000","mexican",105637,31.1693363,-100.0768425,"Texas"
"Southwest","Rio Grande Valley","TX","2000","mexican",122501,31.1693363,-100.0768425,"Texas"
"Southwest","San Diego","CA","2000","mexican",150599,37.2718745,-119.2704153,"California"
"Southwest","Tucson","AZ","2000","mexican",614145,34.1682185,-111.930907,"Arizona"
"Southwest","Yuma","CA","2000","mexican",108236,37.2718745,-119.2704153,"California"
"Southwest","Yuma","AZ","2000","mexican",108236,34.1682185,-111.930907,"Arizona"
"Southwest","All","CA","2000","mexican",1615081,37.2718745,-119.2704153,"California"
