"","Year","Category","Currency","Value"
"1",2016-11-04,"Foreign Currency Assets","INR","22884"
"2",2016-10-28,"Foreign Currency Assets","INR","22790.7"
"3",2016-10-21,"Foreign Currency Assets","INR","22782.8"
"4",2016-10-14,"Foreign Currency Assets","INR","22694.1"
"5",2016-10-07,"Foreign Currency Assets","INR","22771"
"6",2016-09-30,"Foreign Currency Assets","INR","23007.9"
"7",2016-09-23,"Foreign Currency Assets","INR","22902.7"
"8",2016-09-16,"Foreign Currency Assets","INR","22894"
"9",2016-09-09,"Foreign Currency Assets","INR","22898.7"
"10",2016-09-02,"Foreign Currency Assets","INR","22758"
"11",2016-08-26,"Foreign Currency Assets","INR","22754.1"
"12",2016-08-19,"Foreign Currency Assets","INR","22748.6"
"13",2016-08-12,"Foreign Currency Assets","INR","22627.7"
"14",2016-08-05,"Foreign Currency Assets","INR","22618.7"
"15",2016-07-29,"Foreign Currency Assets","INR","22739.2"
"16",2016-07-22,"Foreign Currency Assets","INR","22584.1"
"17",2016-07-15,"Foreign Currency Assets","INR","22605.2"
"18",2016-07-08,"Foreign Currency Assets","INR","22633.4"
"19",2016-07-01,"Foreign Currency Assets","INR","22710.2"
"20",2016-06-24,"Foreign Currency Assets","INR","22744.5"
"21",2016-06-17,"Foreign Currency Assets","INR","22682.7"
"22",2016-06-10,"Foreign Currency Assets","INR","22525.9"
"23",2016-06-03,"Foreign Currency Assets","INR","22682.1"
"24",2016-05-27,"Foreign Currency Assets","INR","22424.8"
"25",2016-05-20,"Foreign Currency Assets","INR","22580.2"
"26",2016-05-13,"Foreign Currency Assets","INR","22386.2"
"27",2016-05-06,"Foreign Currency Assets","INR","22394.2"
"28",2016-04-29,"Foreign Currency Assets","INR","22442.2"
"29",2016-04-22,"Foreign Currency Assets","INR","22335.4"
"30",2016-04-15,"Foreign Currency Assets","INR","22226.1"
"31",2016-04-08,"Foreign Currency Assets","INR","22215.9"
"32",2016-04-01,"Foreign Currency Assets","INR","22162.9"
"33",2016-03-25,"Foreign Currency Assets","INR","22090.7"
"34",2016-03-18,"Foreign Currency Assets","INR","22036.5"
"35",2016-03-11,"Foreign Currency Assets","INR","22014.9"
"36",2016-03-04,"Foreign Currency Assets","INR","21901.2"
"37",2016-02-26,"Foreign Currency Assets","INR","22186.9"
"38",2016-02-19,"Foreign Currency Assets","INR","22345.7"
"39",2016-02-12,"Foreign Currency Assets","INR","22426.6"
"40",2016-02-05,"Foreign Currency Assets","INR","22076.4"
"41",2016-01-29,"Foreign Currency Assets","INR","22026.3"
"42",2016-01-22,"Foreign Currency Assets","INR","21880.4"
"43",2016-01-15,"Foreign Currency Assets","INR","21760.9"
"44",2016-01-08,"Foreign Currency Assets","INR","21647.8"
"45",2016-01-01,"Foreign Currency Assets","INR","21594.9"
